,username,tweets,hashtags,retweets,mentions
85,Actor_Siddharth,@dheerajk_dr contact details for defence colony families?,,11,@dheerajk_dr
86,Actor_Siddharth,@Meyyappan_p tulip apartments house details?,,8,@Meyyappan_p
87,Actor_Siddharth,Please use hashtag #ChennaiMicro for food parcel pickup information. It will be easier for our team to respond. Thanks. @rj_balaji,#ChennaiMicro,1414,@RJ_Balaji
88,Actor_Siddharth,@thehellogenie where can we pick up?,,7,@thehellogenie
89,Actor_Siddharth,@FakingIndian confirm. Will pick up at noon.,,15,
90,Actor_Siddharth,Kotturpuram accessible only from adyar side. All other routes closed. #TNflood,#TNflood,419,
91,Actor_Siddharth,Adyar bridge is open. Slow because of sightseeing crowds. Police requesting us to tell people to stay home. #TNflood,#TNflood,542,
92,Actor_Siddharth,If you are not part of relief work please stay indoors. People crowding bridges to see flood sights are a nuisance. Stay home. #TNflood,#TNflood,1417,
93,Actor_Siddharth,If you can organise food packets in chennai please contact me. We will have it picked up and delivered. Batches of 50-100 packets. #TNflood,#TNflood,1943,
94,Actor_Siddharth,@poojthejooj address,,7,@poojthejooj
95,Actor_Siddharth,@paytm we are looking to you to be at your best these next few days. Please watch out for failed transactions. We need you. Thanks. #TNflood,#TNflood,159,@Paytm
96,Actor_Siddharth,Rain is down to drizzle in some parts. May the dawn bring hope and relief to our people. Be safe. Go out only in groups. Pray. #TNflood,#TNflood,351,
97,Actor_Siddharth,@jayam_mohanraja call you on the morning anna.,,29,@jayam_mohanraja
98,Actor_Siddharth,Ippo kutram kurailam solli projanam illai. Adhellam adutha vaaram pesuvom. Ippo seyyavendiyadhu mattum senja podhum. #Help #Please. #TNflood,#Help #Please #TNflood,809,
99,Actor_Siddharth,@khushsundar call you in the morning ma. God bless.,,22,@khushsundar
100,Actor_Siddharth,Need an extra mechanic for transport relief work. If anyone has a reliable contact please post to me or @rj_balaji,,335,@RJ_Balaji
101,Actor_Siddharth,@Chinmayi check dm. Will send you coordinates.,,22,@Chinmayi
102,Actor_Siddharth,@actor_viishnu will call you da,,37,@actor_viishnu
103,Actor_Siddharth,@Udhaystalin thank you nanba. God bless.,,26,@Udhaystalin
104,Actor_Siddharth,We have a 5 car convoy patrolling affected areas in #Chennai . Please collect genuine transport issues and post to me &amp; @rj_balaji #TNflood,#Chennai #TNflood,1988,@RJ_Balaji
105,Actor_Siddharth,We are getting reports that excess food packets are getting wasted. Till the rains stop transport is crucial. Shelter is available. #TNflood,#TNflood,225,
106,Actor_Siddharth,"If you see people in water, please drop them to dry land. If there's any way you can drive around please do. Help the relief work. #TNflood",#TNflood,439,
107,Actor_Siddharth,driving around doing pickups and drips tomorrow. Currently food and clothing are secondary. Transport is first priority. Please RT #TNflood,#TNflood,797,
108,Actor_Siddharth,Please send tweets to @rj_balaji &amp; me. We are trying to contact groups to spread information for stranded people. Every message/call counts.,,1093,@RJ_Balaji
109,Actor_Siddharth,Relief operations by army and navy in many areas. Thank you. In the meantime...look out your window. If you spot anyone reach out. #TNflood,#TNflood,321,
110,Actor_Siddharth,Thank you SPI and AGS cinemas for opening doors for the affected. God bless you. #TNflood #Chennai,#TNflood #Chennai,410,
111,Actor_Siddharth,Will talk to all national media channels tomorrow. This cannot go under the radar. The worst flood in a century in #TAMILNADU we need help.,#TAMILNADU,925,
112,Actor_Siddharth,It's official. We're now a disaster zone!Army deployed. DO NOT LEAVE YOUR HOME. it's going to get MUCH WORSE! God show mercy on us. #TNflood,#TNflood,1050,
113,Actor_Siddharth,My beautiful niece Arya smiled through all the chaos. Hopefully when she grows up we'll be better prepared. #TNflood,#TNflood,234,
114,Actor_Siddharth,Many people died in their cars in the Bombay floods because power windows and central locking jammed. Don't sit in broken down cars. #flood,#flood,1992,
115,Actor_Siddharth,If you see anyone stuck in a broken down car waiting for the #rain to stop... Please evacuate them to higher ground. It is very unsafe.,#rain,654,
116,Actor_Siddharth,Just spoke on CNN-IBN ... If you are a concerned Indian please tell everybody you know about #TamilNadu. This is a disaster. We are sinking.,#TamilNadu,1624,
117,Actor_Siddharth,Bathrooms submerged. Water coming out of the drains. I am an affluent actor. This is my house. Imagine rest of TN.,,1921,
118,Actor_Siddharth,House flooded. Moving to the terrace. God save Tamil Nadu.,,779,
119,Actor_Siddharth,Power grids have been shut down for safety reasons. No power till rain stops. We are now in darkness. This is depressing. Over and out.,,438,
120,Actor_Siddharth,"Be safe. Sit back, relax and enjoy the beauty of #Casanova https://www.youtube.com/watch?v=HXbhna7SHo4 #JilJungJuk #TheriChristmas",#Casanova #JilJungJuk #TheriChristmas,79,
121,Actor_Siddharth,#Andrea Jeremiah has blessed our film with the most sensuous vocal rendition of the year. Thank you dear #diva,#Andrea #diva,36,
122,Actor_Siddharth,Thank you dear #Jammy @arya_offl for releasing #Casanova Big hug and thanks from team #JilJungJuk https://www.youtube.com/watch?v=HXbhna7SHo4 @Composer_Vishal,#Jammy #Casanova #JilJungJuk,36,@arya_offl @Composer_Vishal
123,Actor_Siddharth,Presenting #Casanova sung by #Andrea 4th Single from #JilJungJuk Music @Composer_Vishal lyrics @lyricist_vivek https://www.youtube.com/watch?v=HXbhna7SHo4,#Casanova #Andrea #JilJungJuk,32,@Composer_Vishal @Lyricist_Vivek
